attribution_id,user_id,campaign_id,touchpoint_date,touchpoint_type,platform,device,attribution_model,attribution_weight,converted,conversion_value
ATTR00000182,USR00003782,CMP000008,2024-08-23,Click,LinkedIn,Mobile,First Touch,0.31,False,0
ATTR00000183,USR00006847,CMP000068,2025-06-06,Click,YouTube,Mobile,Last Touch,0.68,True,0
ATTR00000184,USR00009668,CMP000056,2025-03-17,Click,Programmatic,Gaming Console,First Touch,1.0,False,0
ATTR00000185,USR00003548,CMP000004,2024-11-23,Click,Programmatic,Smart TV,Linear,0.15,False,0
ATTR00000186,USR00001714,CMP000073,2024-11-08,Click,Twitter,Mobile,Linear,0.39,False,0
ATTR00000187,USR00000261,CMP000038,2025-05-17,Click,LinkedIn,Gaming Console,First Touch,0.63,False,0
ATTR00000188,USR00006276,CMP000018,2024-10-24,Click,Instagram,Mobile,Time Decay,0.28,False,0
ATTR00000189,USR00004909,CMP000017,2025-03-16,Click,Twitter,Mobile,Time Decay,0.52,False,9.01
ATTR00000190,USR00000299,CMP000053,2024-12-23,Impression,Facebook,Smart TV,Linear,0.45,False,16.45
ATTR00000191,USR00005002,CMP000019,2024-09-25,Impression,TikTok,Smart TV,Time Decay,0.58,False,0
ATTR00000192,USR00002598,CMP000079,2024-10-31,View,Twitter,Streaming Device,Linear,0.36,False,16.84
ATTR00000193,USR00006427,CMP000090,2025-01-16,Impression,TikTok,Streaming Device,First Touch,0.87,True,21.11
ATTR00000194,USR00001716,CMP000091,2024-11-30,Click,Google Ads,Smart TV,First Touch,0.4,False,0
ATTR00000195,USR00006452,CMP000088,2025-01-21,View,Twitter,Web Browser,Last Touch,0.84,True,12.81
ATTR00000196,USR00008708,CMP000028,2025-06-29,View,TikTok,Mobile,Time Decay,0.13,False,0
ATTR00000197,USR00009493,CMP000098,2025-02-21,Click,Twitter,Web Browser,First Touch,0.9,True,0
ATTR00000198,USR00009904,CMP000083,2025-01-31,Click,Instagram,Mobile,Time Decay,0.64,False,0
ATTR00000199,USR00003563,CMP000049,2025-01-24,Impression,Twitter,Streaming Device,Linear,0.55,False,0
ATTR00000200,USR00002071,CMP000081,2025-04-01,Impression,YouTube,Tablet,Last Touch,1.0,False,0
ATTR00000201,USR00009023,CMP000063,2024-11-05,Click,Facebook,Smart TV,Time Decay,0.92,False,0
ATTR00000202,USR00006845,CMP000032,2025-05-27,Impression,Programmatic,Smart TV,Last Touch,0.57,False,0
ATTR00000203,USR00008174,CMP000030,2024-08-17,View,Facebook,Smart TV,Linear,0.69,False,0
ATTR00000204,USR00008083,CMP000026,2024-12-02,View,YouTube,Mobile,Linear,0.93,True,0
ATTR00000205,USR00006575,CMP000019,2024-09-09,Impression,Twitter,Streaming Device,Time Decay,0.5,False,0
ATTR00000206,USR00005684,CMP000028,2025-06-28,Impression,Instagram,Tablet,First Touch,0.49,False,0
ATTR00000207,USR00009303,CMP000017,2025-04-08,View,YouTube,Tablet,Last Touch,0.9,False,0
ATTR00000208,USR00003411,CMP000024,2025-04-16,View,Twitter,Web Browser,Linear,0.51,True,0
ATTR00000209,USR00005928,CMP000025,2024-08-19,Impression,Programmatic,Web Browser,Linear,0.68,False,0
ATTR00000210,USR00002743,CMP000023,2025-05-27,View,Twitter,Smart TV,First Touch,0.81,False,0
ATTR00000211,USR00001091,CMP000002,2024-09-22,Click,LinkedIn,Mobile,Last Touch,0.98,True,0
ATTR00000212,USR00000830,CMP000035,2025-02-27,View,LinkedIn,Gaming Console,Time Decay,0.41,True,0
ATTR00000213,USR00009036,CMP000036,2024-12-13,View,Programmatic,Smart TV,First Touch,0.55,False,10.73
ATTR00000214,USR00001467,CMP000076,2025-02-17,Click,YouTube,Web Browser,Time Decay,0.21,False,0
ATTR00000215,USR00006822,CMP000028,2025-06-14,View,Programmatic,Web Browser,First Touch,0.53,True,0
ATTR00000216,USR00005248,CMP000004,2024-11-16,Click,Google Ads,Mobile,Time Decay,0.14,False,14.65
ATTR00000217,USR00007948,CMP000044,2025-03-07,Impression,LinkedIn,Gaming Console,Last Touch,0.13,False,0
ATTR00000218,USR00007897,CMP000075,2025-03-02,View,Twitter,Smart TV,First Touch,0.3,False,11.8
ATTR00000219,USR00009230,CMP000011,2024-08-19,Impression,Programmatic,Streaming Device,First Touch,0.8,False,0
ATTR00000220,USR00007480,CMP000090,2025-01-21,Impression,Instagram,Streaming Device,Last Touch,0.82,False,0
ATTR00000221,USR00008818,CMP000003,2024-10-06,Impression,Instagram,Web Browser,Last Touch,0.34,False,16.57
ATTR00000222,USR00004101,CMP000098,2025-02-18,Click,Google Ads,Gaming Console,Last Touch,0.54,False,0
ATTR00000223,USR00004378,CMP000080,2025-02-10,Click,Instagram,Web Browser,First Touch,0.32,False,0
ATTR00000224,USR00005734,CMP000039,2025-05-10,View,Google Ads,Web Browser,Last Touch,0.84,True,0
ATTR00000225,USR00002520,CMP000027,2025-02-20,Click,Programmatic,Mobile,Last Touch,0.35,False,0
ATTR00000226,USR00004590,CMP000077,2025-01-14,Impression,Instagram,Streaming Device,Time Decay,0.85,False,11.13
ATTR00000227,USR00004956,CMP000095,2024-09-09,Impression,Facebook,Tablet,Linear,0.99,False,0
ATTR00000228,USR00002663,CMP000057,2025-02-27,Impression,Google Ads,Web Browser,Linear,0.27,True,22.23
ATTR00000229,USR00001476,CMP000087,2024-10-14,Click,YouTube,Gaming Console,Last Touch,0.61,False,0
ATTR00000230,USR00006321,CMP000074,2024-09-18,View,LinkedIn,Smart TV,Time Decay,0.24,False,0
ATTR00000231,USR00005815,CMP000072,2024-09-10,Impression,Programmatic,Smart TV,First Touch,0.89,False,0
ATTR00000232,USR00007045,CMP000011,2024-07-28,View,Programmatic,Tablet,Linear,0.15,False,0
ATTR00000233,USR00001298,CMP000098,2025-02-26,Impression,Twitter,Gaming Console,Linear,0.28,True,17.07
ATTR00000234,USR00007867,CMP000025,2024-08-08,Click,YouTube,Smart TV,Linear,0.77,True,0
ATTR00000235,USR00002032,CMP000081,2025-04-04,View,Instagram,Mobile,Linear,0.1,False,16.26
ATTR00000236,USR00006998,CMP000011,2024-07-26,View,Facebook,Mobile,Time Decay,0.43,False,0
ATTR00000237,USR00003507,CMP000074,2024-09-30,View,Google Ads,Tablet,Linear,0.11,False,0
ATTR00000238,USR00009410,CMP000041,2024-11-03,Impression,Google Ads,Mobile,First Touch,0.97,False,22.8
ATTR00000239,USR00003937,CMP000027,2025-02-19,Click,LinkedIn,Smart TV,Linear,0.32,False,0
ATTR00000240,USR00000050,CMP000058,2024-11-21,Click,Instagram,Mobile,Linear,0.41,False,0
ATTR00000241,USR00004369,CMP000091,2024-12-18,Impression,TikTok,Web Browser,Last Touch,0.39,False,0
ATTR00000242,USR00000705,CMP000097,2024-09-18,View,Programmatic,Streaming Device,First Touch,0.6,False,12.06
ATTR00000243,USR00009542,CMP000080,2025-02-08,Click,Google Ads,Mobile,Last Touch,0.9,False,0
ATTR00000244,USR00005965,CMP000011,2024-07-26,Click,Facebook,Gaming Console,Last Touch,0.61,False,0
ATTR00000245,USR00005102,CMP000041,2024-10-31,Click,Facebook,Smart TV,Last Touch,0.67,False,16.37
ATTR00000246,USR00005621,CMP000065,2025-02-26,Click,Programmatic,Smart TV,Last Touch,0.25,False,15.31
ATTR00000247,USR00002091,CMP000078,2025-06-16,View,Twitter,Web Browser,Time Decay,0.13,False,20.76
ATTR00000248,USR00006753,CMP000019,2024-09-11,Click,Facebook,Web Browser,First Touch,0.77,False,0
ATTR00000249,USR00001512,CMP000100,2024-09-09,View,Google Ads,Smart TV,Last Touch,0.65,False,0
ATTR00000250,USR00004930,CMP000048,2025-03-17,View,Twitter,Smart TV,Linear,0.23,False,0
ATTR00000251,USR00002425,CMP000014,2025-03-13,Click,Twitter,Mobile,Time Decay,0.71,True,0
ATTR00000252,USR00004685,CMP000086,2024-07-19,Click,Twitter,Gaming Console,Time Decay,0.55,False,0
ATTR00000253,USR00008703,CMP000059,2025-01-28,Click,Instagram,Smart TV,Time Decay,0.66,False,0
