performance_id,campaign_id,date,platform,impressions,clicks,click_through_rate,views,view_rate,spend,cost_per_click,cost_per_thousand_impressions,conversions,conversion_rate,signups,subscriptions,revenue_generated
PERF0000000036,CMP000080,2025-01-22,Instagram,334382,2484,0.74,0,0,8255.73,3.32,24.69,33,1.33,8,4,56.39
PERF0000000037,CMP000017,2025-03-18,TikTok,352589,14068,3.99,136741,38.78,15400.51,1.09,43.68,823,5.85,242,172,3745.96
PERF0000000038,CMP000022,2025-06-10,Programmatic,427832,5295,1.24,0,0,23386.88,4.42,54.66,436,8.23,84,44,860.12
PERF0000000039,CMP000029,2024-10-09,LinkedIn,448413,11261,2.51,0,0,24165.97,2.15,53.89,913,8.11,93,66,1013.56
PERF0000000040,CMP000087,2024-10-30,TikTok,311477,4524,1.45,0,0,15261.59,3.37,49.0,196,4.33,196,111,1730.57
PERF0000000041,CMP000080,2025-02-11,Twitter,484857,9819,2.03,0,0,33526.34,3.41,69.15,659,6.71,127,99,1789.86
PERF0000000042,CMP000015,2025-01-22,Google Ads,49019,1086,2.22,26779,54.63,1017.98,0.94,20.77,97,8.93,12,8,147.01
PERF0000000043,CMP000096,2024-10-18,LinkedIn,312935,7371,2.36,0,0,8810.95,1.2,28.16,348,4.72,41,28,411.7
PERF0000000044,CMP000036,2024-11-21,Twitter,118911,1912,1.61,0,0,9134.58,4.78,76.82,166,8.68,19,14,232.58
PERF0000000045,CMP000083,2025-01-31,Google Ads,213739,2542,1.19,0,0,12346.32,4.86,57.76,242,9.52,242,152,1561.56
PERF0000000046,CMP000028,2025-06-19,Google Ads,31517,777,2.47,0,0,1240.14,1.6,39.35,16,2.06,3,1,19.7
PERF0000000047,CMP000027,2025-02-25,YouTube,431273,11533,2.67,0,0,22818.25,1.98,52.91,268,2.32,75,37,777.28
PERF0000000048,CMP000019,2024-09-05,TikTok,423651,3966,0.94,0,0,13780.9,3.47,32.53,48,1.21,4,3,36.96
PERF0000000049,CMP000042,2025-01-31,Instagram,144129,909,0.63,0,0,3488.5,3.84,24.2,52,5.72,52,31,485.38
PERF0000000050,CMP000100,2024-09-03,Facebook,241981,4257,1.76,0,0,20239.35,4.75,83.64,59,1.39,15,12,195.48
PERF0000000051,CMP000059,2025-02-07,Google Ads,36890,1105,3.0,0,0,4765.69,4.31,129.19,53,4.8,6,4,60.8
PERF0000000052,CMP000011,2024-08-05,Instagram,78872,1186,1.5,48282,61.22,3717.09,3.13,47.13,87,7.34,15,11,144.3
PERF0000000053,CMP000065,2025-03-06,LinkedIn,56998,1415,2.48,0,0,1436.03,1.01,25.19,97,6.86,26,18,379.92
PERF0000000054,CMP000056,2025-03-06,YouTube,221957,2990,1.35,0,0,7596.83,2.54,34.23,141,4.72,16,10,183.02
PERF0000000055,CMP000048,2025-03-20,Instagram,365092,10249,2.81,0,0,8220.72,0.8,22.52,869,8.48,103,55,1063.32
PERF0000000056,CMP000017,2025-04-02,Google Ads,624953,30163,4.83,362998,58.08,106024.75,3.52,169.65,1416,4.69,389,340,5069.78
PERF0000000057,CMP000093,2024-07-05,TikTok,319787,4096,1.28,0,0,3957.57,0.97,12.38,228,5.57,29,20,417.04
PERF0000000058,CMP000045,2025-02-04,Twitter,65232,1569,2.41,0,0,4837.93,3.08,74.16,129,8.22,34,30,613.44
PERF0000000059,CMP000079,2024-11-21,Google Ads,324288,9153,2.82,0,0,38740.75,4.23,119.46,311,3.4,42,32,426.11
PERF0000000060,CMP000044,2025-02-24,Google Ads,100108,2677,2.67,0,0,8160.69,3.05,81.52,123,4.59,123,43,767.74
PERF0000000061,CMP000004,2024-11-02,YouTube,202234,3133,1.55,0,0,6372.62,2.03,31.51,135,4.31,32,25,423.41
PERF0000000062,CMP000011,2024-08-23,Google Ads,173137,2821,1.63,105426,60.89,9966.2,3.53,57.56,97,3.44,22,15,227.68
PERF0000000063,CMP000035,2025-02-07,Facebook,185969,2928,1.57,0,0,5196.06,1.77,27.94,208,7.1,41,31,298.4
PERF0000000064,CMP000051,2024-09-15,Google Ads,9030,91,1.01,0,0,432.61,4.75,47.91,7,7.69,1,0,0.0
PERF0000000065,CMP000064,2025-03-28,LinkedIn,97114,799,0.82,0,0,2314.4,2.9,23.83,24,3.0,5,3,41.85
PERF0000000066,CMP000051,2024-09-23,Google Ads,233704,1278,0.55,0,0,5936.61,4.65,25.4,111,8.69,23,16,302.77
PERF0000000067,CMP000054,2024-11-12,Facebook,434707,4709,1.08,201001,46.24,19334.92,4.11,44.48,309,6.56,82,71,725.89
PERF0000000068,CMP000014,2025-02-21,LinkedIn,313738,4709,1.5,0,0,4021.07,0.85,12.82,416,8.83,103,60,1193.86
PERF0000000069,CMP000010,2024-12-19,Facebook,283189,5026,1.77,0,0,23002.25,4.58,81.23,208,4.14,51,42,856.82
PERF0000000070,CMP000031,2024-10-28,Instagram,139201,1382,0.99,0,0,4437.32,3.21,31.88,108,7.81,24,13,257.53
PERF0000000071,CMP000064,2025-03-19,Programmatic,362110,10176,2.81,0,0,30937.21,3.04,85.44,683,6.71,153,129,2292.46
PERF0000000072,CMP000020,2025-06-15,Facebook,250849,4027,1.61,0,0,7501.06,1.86,29.9,139,3.45,139,44,708.08
PERF0000000073,CMP000040,2024-11-22,Programmatic,24717,158,0.64,0,0,670.34,4.24,27.12,2,1.27,2,1,20.96
PERF0000000074,CMP000079,2024-11-19,LinkedIn,247594,4830,1.95,0,0,23155.22,4.79,93.52,369,7.64,39,33,560.78
PERF0000000075,CMP000025,2024-08-06,Programmatic,535721,8589,1.6,177289,33.09,8294.9,0.97,15.48,780,9.08,131,102,1637.48
PERF0000000076,CMP000023,2025-05-05,YouTube,375997,5994,1.59,0,0,14849.52,2.48,39.49,341,5.69,44,28,362.61
PERF0000000077,CMP000053,2024-12-27,Twitter,360937,7199,1.99,0,0,29166.9,4.05,80.81,491,6.82,55,29,536.13
PERF0000000078,CMP000037,2024-08-30,Instagram,359555,4767,1.33,227169,63.18,22049.09,4.63,61.32,180,3.78,180,101,1844.25
PERF0000000079,CMP000017,2025-04-04,Facebook,334620,10827,3.24,208048,62.17,21417.37,1.98,64.01,232,2.14,55,48,1101.61
PERF0000000080,CMP000068,2025-05-12,LinkedIn,271594,3814,1.4,0,0,8130.26,2.13,29.94,100,2.62,14,12,189.57
PERF0000000081,CMP000029,2024-09-16,Instagram,45456,563,1.24,0,0,2278.2,4.05,50.12,31,5.51,6,4,65.45
PERF0000000082,CMP000085,2025-02-18,Instagram,318129,4586,1.44,0,0,5641.3,1.23,17.73,388,8.46,98,80,904.6
PERF0000000083,CMP000057,2025-02-25,LinkedIn,195997,4294,2.19,0,0,6736.8,1.57,34.37,214,4.98,33,26,397.15
PERF0000000084,CMP000069,2024-07-22,TikTok,857903,35495,4.14,645132,75.2,48737.22,1.37,56.81,2521,7.1,539,364,7193.42
PERF0000000085,CMP000100,2024-09-04,LinkedIn,89965,2287,2.54,0,0,9389.66,4.11,104.37,51,2.23,7,5,106.14
PERF0000000086,CMP000071,2025-06-06,Facebook,755957,33137,4.38,548509,72.56,59076.1,1.78,78.15,2607,7.87,402,346,3824.3
PERF0000000087,CMP000056,2025-02-22,YouTube,433187,7051,1.63,0,0,14617.66,2.07,33.74,87,1.23,9,6,73.75
PERF0000000088,CMP000011,2024-08-06,YouTube,39556,899,2.27,13826,34.95,3340.84,3.72,84.46,36,4.0,4,2,43.67
PERF0000000089,CMP000061,2025-06-24,Instagram,402851,9119,2.26,0,0,22968.09,2.52,57.01,95,1.04,95,31,389.76
PERF0000000090,CMP000020,2025-06-18,LinkedIn,63293,1544,2.44,0,0,2423.12,1.57,38.28,32,2.07,32,12,215.22
PERF0000000091,CMP000080,2025-01-28,Facebook,63121,1635,2.59,0,0,4494.99,2.75,71.21,95,5.81,21,15,285.74
PERF0000000092,CMP000038,2025-05-15,Google Ads,327337,4523,1.38,0,0,13876.5,3.07,42.39,121,2.68,28,19,266.73
PERF0000000093,CMP000068,2025-05-27,Google Ads,209710,5627,2.68,0,0,3915.86,0.7,18.67,252,4.48,44,35,489.63
PERF0000000094,CMP000009,2025-02-14,YouTube,389272,8341,2.14,0,0,8061.47,0.97,20.71,520,6.23,130,71,988.48
PERF0000000095,CMP000044,2025-03-11,Instagram,440360,10779,2.45,0,0,27926.27,2.59,63.42,782,7.25,782,432,8791.62
PERF0000000096,CMP000009,2025-02-25,Programmatic,24390,300,1.23,0,0,209.14,0.7,8.57,8,2.67,0,0,0.0
PERF0000000097,CMP000070,2025-04-24,TikTok,48399,1942,4.01,19144,39.55,4090.6,2.11,84.52,155,7.98,155,100,1363.69
PERF0000000098,CMP000016,2024-12-05,Twitter,468176,21339,4.56,314452,67.17,96577.51,4.53,206.28,955,4.48,955,658,10486.44
PERF0000000099,CMP000064,2025-03-16,TikTok,425032,3002,0.71,0,0,7235.57,2.41,17.02,146,4.86,43,24,314.47
PERF0000000100,CMP000014,2025-02-16,Twitter,351512,4355,1.24,0,0,10916.33,2.51,31.06,324,7.44,43,29,442.24
PERF0000000101,CMP000094,2025-02-12,Twitter,654718,32687,4.99,286293,43.73,160497.18,4.91,245.14,3115,9.53,358,270,3800.62
PERF0000000102,CMP000096,2024-10-17,Instagram,21326,182,0.85,0,0,588.6,3.23,27.6,14,7.69,1,0,0.0
PERF0000000103,CMP000047,2025-04-20,LinkedIn,604799,6831,1.13,227839,37.67,17245.89,2.52,28.52,296,4.33,55,29,316.61
PERF0000000104,CMP000047,2025-04-21,Twitter,691113,14615,2.11,539247,78.03,9011.76,0.62,13.04,390,2.67,79,68,723.43
PERF0000000105,CMP000100,2024-08-31,Programmatic,117496,3514,2.99,0,0,6272.83,1.79,53.39,324,9.22,64,35,732.53
PERF0000000106,CMP000058,2024-11-15,Programmatic,51027,1289,2.53,0,0,6256.84,4.85,122.62,127,9.85,29,22,367.18
PERF0000000107,CMP000038,2025-05-30,TikTok,451358,4034,0.89,0,0,14897.71,3.69,33.01,294,7.29,39,25,303.23
PERF0000000108,CMP000026,2024-12-05,Instagram,129117,3196,2.48,0,0,1976.02,0.62,15.3,191,5.98,33,27,451.25
PERF0000000109,CMP000079,2024-11-28,Facebook,39470,502,1.27,0,0,2509.09,5.0,63.57,37,7.37,7,5,102.58
PERF0000000110,CMP000010,2024-12-07,Twitter,341770,2342,0.69,0,0,6080.42,2.6,17.79,132,5.64,16,13,217.21
PERF0000000111,CMP000076,2025-02-09,Instagram,231816,4073,1.76,0,0,17949.52,4.41,77.43,345,8.47,345,174,2305.11
PERF0000000112,CMP000021,2024-07-20,YouTube,186415,5347,2.87,0,0,15158.96,2.84,81.32,190,3.55,190,62,727.77
PERF0000000113,CMP000071,2025-05-16,Instagram,665383,14713,2.21,377098,56.67,40631.11,2.76,61.06,370,2.51,106,59,1074.52
PERF0000000114,CMP000093,2024-08-01,Twitter,446728,12552,2.81,0,0,8602.82,0.69,19.26,1101,8.77,127,111,2196.06
PERF0000000115,CMP000034,2025-05-15,YouTube,407107,7858,1.93,0,0,25785.93,3.28,63.34,99,1.26,27,19,341.56
PERF0000000116,CMP000039,2025-05-19,YouTube,426888,10750,2.52,0,0,25019.73,2.33,58.61,546,5.08,546,314,3517.78
PERF0000000117,CMP000054,2024-11-18,Programmatic,223933,5286,2.36,83265,37.18,23135.15,4.38,103.31,204,3.86,60,38,553.74
PERF0000000118,CMP000098,2025-02-10,Facebook,172308,1902,1.1,0,0,1999.67,1.05,11.61,95,4.99,12,6,133.35
PERF0000000119,CMP000079,2024-11-13,YouTube,458670,12639,2.76,0,0,52586.46,4.16,114.65,1188,9.4,290,167,1873.87
PERF0000000120,CMP000066,2025-02-27,Programmatic,465888,5923,1.27,0,0,3579.23,0.6,7.68,563,9.51,563,282,6351.66
PERF0000000121,CMP000028,2025-06-17,Twitter,30510,191,0.63,0,0,520.86,2.73,17.07,17,8.9,3,2,33.01
PERF0000000122,CMP000014,2025-02-27,Instagram,467660,5430,1.16,0,0,11652.78,2.15,24.92,251,4.62,27,14,235.98
PERF0000000123,CMP000047,2025-04-26,TikTok,87103,2217,2.55,45744,52.52,6594.15,2.97,75.71,186,8.39,41,30,323.74
PERF0000000124,CMP000013,2025-05-29,Twitter,421755,12513,2.97,0,0,37667.17,3.01,89.31,536,4.28,69,51,745.08
PERF0000000125,CMP000006,2024-11-21,Google Ads,76846,1755,2.28,0,0,7226.82,4.12,94.04,99,5.64,12,10,109.47
PERF0000000126,CMP000079,2024-11-10,Instagram,211021,6281,2.98,0,0,24036.99,3.83,113.91,231,3.68,38,31,509.73
PERF0000000127,CMP000091,2024-12-13,TikTok,253980,6449,2.54,0,0,13914.43,2.16,54.79,455,7.06,134,98,1974.17
PERF0000000128,CMP000093,2024-07-31,Google Ads,317952,5362,1.69,0,0,26015.45,4.85,81.82,431,8.04,110,80,1527.17
PERF0000000129,CMP000075,2025-02-17,Instagram,279848,5800,2.07,0,0,19075.1,3.29,68.16,497,8.57,64,49,462.17
PERF0000000130,CMP000090,2025-01-02,YouTube,14928,239,1.6,0,0,569.9,2.38,38.18,11,4.6,1,0,0.0
PERF0000000131,CMP000061,2025-06-29,Google Ads,375029,3169,0.85,0,0,4541.3,1.43,12.11,124,3.91,124,70,1144.27
PERF0000000132,CMP000041,2024-11-30,Instagram,245996,6839,2.78,0,0,13954.79,2.04,56.73,286,4.18,72,56,1007.79
PERF0000000133,CMP000089,2024-11-19,Programmatic,105801,3061,2.89,0,0,5373.67,1.76,50.79,112,3.66,32,28,554.02
PERF0000000134,CMP000091,2024-12-01,Programmatic,171220,2909,1.7,0,0,8791.56,3.02,51.35,273,9.38,66,40,680.75
PERF0000000135,CMP000070,2025-04-21,LinkedIn,868130,20666,2.38,595999,68.65,23954.84,1.16,27.59,284,1.37,284,193,1948.61
PERF0000000136,CMP000057,2025-03-16,TikTok,396820,6736,1.7,0,0,9493.09,1.41,23.92,393,5.83,112,87,949.33
PERF0000000137,CMP000079,2024-11-23,YouTube,132117,828,0.63,0,0,3786.72,4.57,28.66,25,3.02,3,1,13.61
PERF0000000138,CMP000061,2025-06-05,Instagram,7716,224,2.9,0,0,1097.73,4.9,142.27,5,2.23,5,2,42.64
PERF0000000139,CMP000061,2025-06-17,YouTube,401315,11677,2.91,0,0,22714.74,1.95,56.6,795,6.81,795,527,5397.77
PERF0000000140,CMP000074,2024-09-16,Google Ads,483795,13564,2.8,0,0,32288.86,2.38,66.74,1158,8.54,1158,779,7399.53
PERF0000000141,CMP000051,2024-09-21,Programmatic,102680,2917,2.84,0,0,14087.92,4.83,137.2,272,9.32,74,37,626.83
PERF0000000142,CMP000014,2025-03-15,Twitter,154192,2522,1.64,0,0,8539.25,3.39,55.38,144,5.71,40,22,353.08
PERF0000000143,CMP000035,2025-02-07,Facebook,178373,1616,0.91,0,0,4145.23,2.57,23.24,53,3.28,7,5,100.3
PERF0000000144,CMP000073,2024-11-07,YouTube,97009,1966,2.03,0,0,6633.81,3.37,68.38,91,4.63,16,10,146.02
PERF0000000145,CMP000013,2025-05-22,Instagram,255323,3342,1.31,0,0,5401.38,1.62,21.16,111,3.32,16,12,268.16
PERF0000000146,CMP000039,2025-05-22,Google Ads,142129,3033,2.13,0,0,10971.75,3.62,77.2,47,1.55,47,16,212.56
PERF0000000147,CMP000052,2025-01-17,TikTok,366910,2911,0.79,0,0,13456.35,4.62,36.67,106,3.64,23,13,141.18
PERF0000000148,CMP000020,2025-06-15,Twitter,223022,5028,2.25,0,0,23166.94,4.61,103.88,392,7.8,392,243,4993.27
PERF0000000149,CMP000098,2025-02-06,Facebook,280516,4535,1.62,0,0,16629.61,3.67,59.28,77,1.7,16,8,133.26
PERF0000000150,CMP000065,2025-02-21,Instagram,91264,1204,1.32,0,0,3421.21,2.84,37.49,24,1.99,3,2,20.53
PERF0000000151,CMP000066,2025-02-27,Google Ads,242729,2014,0.83,0,0,4771.99,2.37,19.66,122,6.06,122,63,1159.75
PERF0000000152,CMP000040,2024-12-01,Google Ads,212591,2415,1.14,0,0,1240.27,0.51,5.83,71,2.94,71,23,343.2
PERF0000000153,CMP000090,2025-01-01,Google Ads,494990,13540,2.74,0,0,66855.34,4.94,135.06,710,5.24,111,63,685.82
PERF0000000154,CMP000083,2025-02-12,LinkedIn,201325,6003,2.98,0,0,13333.61,2.22,66.23,529,8.81,529,350,4987.16
PERF0000000155,CMP000088,2025-01-24,Instagram,347640,9214,2.65,0,0,9525.89,1.03,27.4,915,9.93,163,89,2019.6
PERF0000000156,CMP000001,2024-08-03,Google Ads,161428,2675,1.66,0,0,9993.59,3.74,61.91,128,4.79,22,13,200.7
PERF0000000157,CMP000020,2025-06-09,YouTube,496473,13345,2.69,0,0,52642.08,3.94,106.03,172,1.29,172,97,1707.1
PERF0000000158,CMP000003,2024-09-24,YouTube,40279,302,0.75,0,0,196.63,0.65,4.88,19,6.29,4,2,38.72
PERF0000000159,CMP000052,2025-01-10,YouTube,287989,3004,1.04,0,0,13177.91,4.39,45.76,45,1.5,9,5,102.06
PERF0000000160,CMP000094,2025-02-03,Twitter,615526,20876,3.39,391638,63.63,40561.92,1.94,65.9,775,3.71,99,75,906.34
PERF0000000161,CMP000039,2025-05-12,Google Ads,296880,8524,2.87,0,0,38006.07,4.46,128.02,784,9.2,784,431,6452.42
PERF0000000162,CMP000064,2025-03-06,Twitter,498662,10513,2.11,0,0,23288.35,2.22,46.7,601,5.72,143,94,1239.71
PERF0000000163,CMP000024,2025-04-23,Programmatic,131336,3445,2.62,0,0,6384.67,1.85,48.61,253,7.34,66,57,961.21
PERF0000000164,CMP000054,2024-11-20,Instagram,417286,8226,1.97,167610,40.17,28052.11,3.41,67.23,765,9.3,206,110,2104.76
PERF0000000165,CMP000025,2024-07-28,TikTok,405489,14981,3.69,243885,60.15,66385.19,4.43,163.72,403,2.69,101,79,1328.3
PERF0000000166,CMP000062,2024-07-24,Twitter,163957,4742,2.89,0,0,2698.21,0.57,16.46,447,9.43,130,71,1631.86
PERF0000000167,CMP000062,2024-08-16,YouTube,369708,7434,2.01,0,0,10558.58,1.42,28.56,686,9.23,144,116,1661.03
PERF0000000168,CMP000069,2024-08-04,Twitter,333404,6822,2.05,185508,55.64,18676.92,2.74,56.02,128,1.88,37,25,518.66
PERF0000000169,CMP000027,2025-02-18,Twitter,222018,1363,0.61,0,0,5981.36,4.39,26.94,104,7.63,10,7,120.17
PERF0000000170,CMP000093,2024-07-17,TikTok,84907,840,0.99,0,0,1289.47,1.54,15.19,51,6.07,7,5,110.99
PERF0000000171,CMP000044,2025-02-21,Programmatic,384352,8087,2.1,0,0,21897.01,2.71,56.97,203,2.51,203,125,1419.96
PERF0000000172,CMP000093,2024-07-21,Programmatic,101494,2833,2.79,0,0,8327.93,2.94,82.05,191,6.74,21,10,208.44
PERF0000000173,CMP000086,2024-07-20,Google Ads,442424,6857,1.55,272245,61.53,5525.75,0.81,12.49,161,2.35,161,62,953.2
PERF0000000174,CMP000008,2024-08-30,Programmatic,350654,6029,1.72,0,0,3193.9,0.53,9.11,359,5.95,36,25,320.91
PERF0000000175,CMP000037,2024-08-22,LinkedIn,855328,40703,4.76,333264,38.96,188504.54,4.63,220.39,2327,5.72,2327,922,16288.91
PERF0000000176,CMP000033,2025-03-23,Twitter,145155,3610,2.49,0,0,3088.67,0.86,21.28,347,9.61,347,167,2069.95
PERF0000000177,CMP000090,2025-01-06,TikTok,363634,9345,2.57,0,0,8062.64,0.86,22.17,927,9.92,213,109,1598.36
PERF0000000178,CMP000049,2025-01-29,Programmatic,34420,720,2.09,0,0,2637.22,3.66,76.62,12,1.67,3,2,27.26
PERF0000000179,CMP000013,2025-06-14,Google Ads,125463,1290,1.03,0,0,5684.42,4.41,45.31,115,8.91,22,11,110.34
PERF0000000180,CMP000036,2024-12-18,Google Ads,99033,2794,2.82,0,0,5351.02,1.92,54.03,269,9.63,58,46,872.53
PERF0000000181,CMP000051,2024-09-25,Facebook,161907,1467,0.91,0,0,2320.98,1.58,14.34,124,8.45,22,18,245.42
PERF0000000182,CMP000097,2024-09-14,Instagram,419448,12462,2.97,0,0,46841.37,3.76,111.67,686,5.5,686,473,4607.85
PERF0000000183,CMP000056,2025-02-27,Facebook,183568,3695,2.01,0,0,12054.54,3.26,65.67,235,6.36,69,43,768.31
PERF0000000184,CMP000058,2024-11-25,YouTube,191547,3606,1.88,0,0,7895.05,2.19,41.22,96,2.66,20,13,257.4
PERF0000000185,CMP000038,2025-05-27,YouTube,378874,2590,0.68,0,0,4418.21,1.71,11.66,114,4.4,29,16,231.12
PERF0000000186,CMP000047,2025-04-12,Facebook,15447,737,4.77,8069,52.24,2893.51,3.93,187.32,14,1.9,1,0,0.0
PERF0000000187,CMP000066,2025-02-26,Facebook,18768,135,0.72,0,0,404.19,2.99,21.54,8,5.93,8,4,84.33
PERF0000000188,CMP000002,2024-09-05,LinkedIn,208318,5099,2.45,0,0,19181.4,3.76,92.08,307,6.02,91,54,879.42
PERF0000000189,CMP000088,2025-01-06,Instagram,77792,911,1.17,0,0,1555.83,1.71,20.0,21,2.31,2,1,13.19
PERF0000000190,CMP000010,2024-12-14,TikTok,134284,3091,2.3,0,0,8441.86,2.73,62.87,202,6.54,38,21,190.78
PERF0000000191,CMP000051,2024-09-06,LinkedIn,426567,11327,2.66,0,0,28102.32,2.48,65.88,552,4.87,146,111,1921.58
PERF0000000192,CMP000039,2025-05-14,YouTube,256139,3292,1.29,0,0,15935.21,4.84,62.21,319,9.69,319,132,2470.96
PERF0000000193,CMP000063,2024-12-05,YouTube,175858,2532,1.44,0,0,10569.14,4.17,60.1,114,4.5,13,9,155.53
PERF0000000194,CMP000070,2025-04-14,Google Ads,772538,21990,2.85,505381,65.42,54382.31,2.47,70.39,796,3.62,796,459,9389.08
PERF0000000195,CMP000053,2024-12-24,Programmatic,77969,1624,2.08,0,0,2580.69,1.59,33.1,112,6.9,27,22,220.56
PERF0000000196,CMP000077,2024-12-30,LinkedIn,285162,5037,1.77,0,0,23380.57,4.64,81.99,363,7.21,75,61,855.43
PERF0000000197,CMP000069,2024-08-03,Facebook,124682,5081,4.08,78400,62.88,10657.6,2.1,85.48,346,6.81,37,33,609.66
PERF0000000198,CMP000052,2025-01-26,Twitter,422454,6658,1.58,0,0,3645.02,0.55,8.63,221,3.32,44,31,530.63
PERF0000000199,CMP000074,2024-09-16,Programmatic,201146,2972,1.48,0,0,11815.31,3.98,58.74,187,6.29,187,93,1285.22
PERF0000000200,CMP000004,2024-11-15,Facebook,159891,2462,1.54,0,0,11885.98,4.83,74.34,50,2.03,14,7,93.5
PERF0000000201,CMP000059,2025-02-12,YouTube,278214,4749,1.71,0,0,12550.33,2.64,45.11,234,4.93,56,35,461.78
PERF0000000202,CMP000091,2024-11-28,Google Ads,450214,6112,1.36,0,0,6063.91,0.99,13.47,501,8.2,143,113,1832.17
